,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199612,-0.88,1.9289,2.2954,2.2663,1.7699,1.5067,1.5739,3.63,3.7588,1.9805,-0.5036,0.4863,1.9519,0.6195,1.8734,-2.209,0.1598,-0.2569,0.4159,1.8016,-2.2001,-0.4616,-2.4241,-1.7193,-2.3746
199701,6.2409,5.5924,6.4681,4.7245,3.7848,3.8334,3.5338,1.2287,1.0935,1.8934,0.2324,3.5399,2.107,2.8583,4.5602,2.335,3.9862,3.4985,1.5735,5.0034,7.928,5.5893,5.0652,4.9362,3.7747
199702,-5.8856,-5.0732,-1.8001,0.2879,1.0803,-9.1717,-1.9404,-1.0416,1.2405,2.2778,-6.6113,-0.4836,0.5229,0.9644,1.4369,-3.9256,1.4218,0.9536,2.3453,3.5476,0.6262,-0.8112,0.0553,3.1239,3.0198
199703,-9.6579,-6.4816,-3.4059,-1.9706,-2.1731,-9.1305,-5.8044,-2.2696,-2.7188,-1.3985,-7.9435,-3.754,-3.1568,-2.2704,-2.6616,-7.2133,-4.8155,-2.3842,-4.2936,-3.6301,-5.4621,-2.5557,-2.6549,-5.2716,-5.5564
199704,-5.1685,-3.7781,-3.1359,-1.5354,-2.5289,-4.1625,0.0739,-0.6473,2.077,0.5693,-1.3054,2.8634,3.4006,3.2689,1.5539,1.9184,2.8921,2.7242,2.7619,1.9183,8.1838,3.3444,5.1291,3.7312,3.9435
199705,12.221,12.4833,10.3198,8.3152,8.1625,17.7015,12.8222,9.6654,9.7917,8.0238,15.415,10.7318,6.6977,7.037,8.2829,9.7637,7.2795,5.4288,7.1606,7.7508,6.3683,6.8974,5.4777,5.2665,5.4763
199706,3.9905,4.7059,5.8261,7.8653,7.0711,2.9606,4.6422,6.3304,5.8216,6.4131,4.0039,3.4283,5.27,5.1033,5.7362,2.0943,4.2482,4.0479,3.6166,4.1847,4.3774,3.5513,5.149,4.8105,2.0833
199707,3.8498,5.2377,5.9921,6.0316,5.8952,4.984,5.8114,3.8716,5.2019,5.5019,5.1423,6.8239,6.47,5.6235,6.2814,6.8033,6.8983,7.0936,7.2151,6.0594,8.1078,7.7351,10.0291,6.5299,9.379
199708,5.7735,4.5425,3.1983,4.0281,4.3045,3.8697,1.4385,4.2849,2.3837,3.5543,2.7649,3.2315,1.0537,-0.1899,1.0028,0.2184,0.1419,0.2062,-1.0054,0.4015,-7.2113,-3.5897,-5.7147,-5.4646,-2.9489
199709,10.4498,9.87,9.786,8.091,8.8038,7.5798,7.9828,7.8594,8.0377,6.6181,7.0601,6.9448,7.447,6.6545,6.4317,5.2079,4.8777,5.9688,6.0317,4.0086,4.8681,5.5274,6.0672,6.6881,6.3431
